test_id,Ed_prc,Gtan/fe/fp
CD1,15.83161,0.008267581
CD1,15.85488,0.05105356
CD1,15.87684,0.04405718
CD1,15.8993,0.03571199
CD1,15.92175,0.03985664
CD1,15.9436,0.003838616
CD1,15.96567,0.04521599
CD1,15.98834,0.01373736
CD1,16.01073,0.05872059
CD1,16.03309,0.01319377
CD1,16.05578,0.07141877
CD1,16.07749,0.06423197
CD1,16.09928,0.1281568
CD1,16.12143,0.071187
CD1,16.14356,0.09929367
CD1,16.1656,0.09069338
CD1,16.18763,0.1137884
CD1,16.2097,0.08264534
CD1,16.23187,0.0291275
CD1,16.25435,0.07590318
CD1,16.2764,0.04678696
CD1,16.2988,0.0177958
CD1,16.32113,-0.07527545
CD1,16.34335,0.018024
CD1,16.36531,-0.06155892
CD1,16.3878,-0.02095384
CD1,16.41027,-0.0449637
CD1,16.43239,-0.032986
CD1,16.45482,0.006628472
CD1,16.47694,0.0002821448
CD1,16.4992,-0.009379926
CD1,16.52107,0.02035107
CD1,16.54316,0.1038999
CD1,16.56581,0.01557996
CD1,16.58834,0.1116319
CD1,16.61088,0.06944085
CD1,16.63256,0.09019583
CD1,16.65494,0.07074224
CD1,16.67763,0.05486471
CD1,16.70013,0.04645235
CD1,16.72259,0.06611073
CD1,16.74506,0.09269707
CD1,16.76658,0.0438726
CD1,16.78874,0.05874091
CD1,16.81084,0.04619373
CD1,16.83258,0.06879433
CD1,16.85502,0.0397273
CD1,16.87709,0.08464436
CD1,16.89869,0.0529671
CD1,16.92062,0.05441685
CD1,16.94247,0.04447147
CD1,16.96455,0.01550113
CD1,16.98777,0.04162338
CD1,17.0099,0.03728603
CD1,17.0324,0.00958242
CD1,17.05485,-0.06218302
CD1,17.07719,0.02287456
CD1,17.09965,-0.01827265
CD1,17.12189,0.01970091
CD1,17.14384,-0.05291859
CD1,17.16627,-0.006254369
CD1,17.18855,-0.05857162
CD1,17.21094,0.009111325
CD1,17.23317,-0.01648472
CD1,17.25552,0.0177201
CD1,17.27778,0.06491477
CD1,17.30036,0.008010437
CD1,17.32295,0.009072331
CD1,17.34536,-0.03093773
CD1,17.36778,0.02101332
CD1,17.39042,-0.0303341
CD1,17.41167,0.08312702
CD1,17.43397,0.007618485
CD1,17.45714,0.03618268
CD1,17.47846,0.003953402
CD1,17.50056,0.03619935
CD1,17.5226,0.02662085
CD1,17.54479,0.04384527
CD1,17.56715,0.07579915
CD1,17.58964,0.09620914
CD1,17.61188,0.05470081
CD1,17.63545,-0.006475627
CD1,17.6576,0.03349257
CD1,17.67914,0.009757367
CD1,17.70217,0.03661367
CD1,17.72451,0.005925604
CD1,17.74687,-0.001187092
CD1,17.76911,0.02034476
CD1,17.79149,0.03363538
CD1,17.81384,0.005824824
CD1,17.83605,0.05495259
CD1,17.85844,0.04988174
CD1,17.88083,0.02430184
CD1,17.90307,0.05642686
CD1,17.92556,0.04377802
CD1,17.94821,0.02328973
CD1,17.97073,0.03121999
CD1,17.99325,0.01273305
CD1,18.01558,0.01160848
CD1,18.03783,0.03323688
CD1,18.06037,0.05063594
CD1,18.08275,0.03390859
CD1,18.10514,0.007632829
CD1,18.12776,0.02049537
CD1,18.15041,-0.004903154
CD1,18.17284,0.03096862
CD1,18.1951,0.055978
CD1,18.2175,0.05898193
CD1,18.24036,0.04782072
CD1,18.26311,0.05692434
CD1,18.28537,0.02089116
CD1,18.30793,0.02570858
CD1,18.33051,0.06337122
CD1,18.35325,0.05579912
CD1,18.37593,0.04397997
CD1,18.39862,0.06390959
CD1,18.42143,0.01676492
CD1,18.44415,0.0294296
CD1,18.46645,0.02430918
CD1,18.48905,-0.01907147
CD1,18.51192,0.0176367
CD1,18.53469,0.05150518
CD1,18.55737,0.0001600503
CD1,18.57998,0.02071018
CD1,18.60258,0.0278485
CD1,18.62518,0.02703441
CD1,18.64808,0.0325403
CD1,18.67039,0.0533648
CD1,18.693,0.004857672
CD1,18.71591,0.02511145
CD1,18.73824,-0.006254416
CD1,18.7602,0.02266468
CD1,18.78356,0.03767594
CD1,18.80677,0.03050078
CD1,18.82929,0.02146893
CD1,18.85218,0.01109074
CD1,18.87477,0.02988303
CD1,18.8978,-0.02953862
CD1,18.92029,0.05209722
CD1,18.94272,0.04756112
CD1,18.96623,0.04204552
CD1,18.98965,-0.01685012
CD1,19.0114,0.06437407
CD1,19.03316,0.03283476
CD1,19.05552,0.01502504
CD1,19.07807,-0.01608778
CD1,19.10065,-0.02628553
CD1,19.12318,-0.02616051
CD1,19.14597,-0.01798157
CD1,19.16886,-0.01513454
CD1,19.19081,-0.02615671
CD1,19.21322,0.01374092
CD1,19.23628,-0.06437683
CD1,19.25929,-0.04037707
CD1,19.28243,0.02439084
CD1,19.30469,0.04340923
CD1,19.32753,0.02779216
CD1,19.35033,0.07160997
CD1,19.37323,-0.02247547
CD1,19.39559,-0.0001044224
CD1,19.41874,-0.006800526
CD1,19.44181,-0.006058433
CD1,19.46447,0.03995988
CD1,19.48716,-0.03424927
CD1,19.50971,0.006375727
CD1,19.53286,0.0005672925
CD1,19.55539,0.01885212
CD1,19.57811,-0.06277575
CD1,19.60077,0.05532407
CD1,19.6236,0.03437957
CD1,19.6462,0.05647649
CD1,19.66892,0.001250613
CD1,19.6917,0.03762816
CD1,19.7145,0.05473753
CD1,19.73734,-0.001541758
CD1,19.76028,-0.05003276
CD1,19.78311,-0.05440699
CD1,19.80629,0.03171347
CD1,19.82919,-0.03667611
CD1,19.85245,-0.02317644
CD1,19.87571,-0.0377231
CD1,19.89836,0.03753556
CD1,19.92102,-0.06840906
CD1,19.94335,0.0007244422
CD1,19.96667,-0.02506647
CD1,19.98959,0.04428613
CD1,20.01239,0.06405082
CD1,20.03444,0.03161795
CD1,20.05733,0.04794831
CD1,20.07958,0.02153215
CD1,20.10175,0.03878976
CD1,20.12439,-0.009078127
CD1,20.14701,0.03453422
CD1,20.17006,0.01550802
CD1,20.19268,0.02551407
CD1,20.21541,0.01269205
CD1,20.23858,-0.001755428
CD1,20.26119,-0.003828754
CD1,20.2834,-0.06990582
CD1,20.30651,-0.002445026
CD1,20.32971,-0.0130984
