CD1_p_kPa,CD1_e,CD2_p_kPa,CD2_e,CD3_p_kPa,CD3_e,CD4_p_kPa,CD4_e,CD5_p_kPa,CD5_e,CD6_p_kPa,CD6_e
1.433040E+02,6.877661E-01,1.916912E+02,4.819630E-01,1.491345E+02,5.719725E-01,1.000428E+02,4.926230E-01,3.355367E+02,4.875255E-01,7.626067E+02,4.847282E-01
1.436897E+02,6.877039E-01,1.924000E+02,4.820160E-01,1.494980E+02,5.719175E-01,1.004346E+02,4.926794E-01,3.369947E+02,4.875645E-01,7.660531E+02,4.847015E-01
1.439507E+02,6.876280E-01,1.931691E+02,4.820708E-01,1.499743E+02,5.718775E-01,1.008173E+02,4.927292E-01,3.384677E+02,4.875810E-01,7.697969E+02,4.846625E-01
1.443356E+02,6.875583E-01,1.938616E+02,4.820977E-01,1.503588E+02,5.718447E-01,1.011050E+02,4.928104E-01,3.398211E+02,4.875710E-01,7.732225E+02,4.846348E-01
1.446475E+02,6.875035E-01,1.946133E+02,4.821455E-01,1.508030E+02,5.717890E-01,1.014676E+02,4.928638E-01,3.411296E+02,4.876194E-01,7.763188E+02,4.846348E-01
1.450342E+02,6.874341E-01,1.952726E+02,4.822006E-01,1.512024E+02,5.717640E-01,1.017736E+02,4.929279E-01,3.425363E+02,4.876315E-01,7.794604E+02,4.846070E-01
1.452982E+02,6.873983E-01,1.959925E+02,4.822649E-01,1.516105E+02,5.717345E-01,1.021955E+02,4.929850E-01,3.438834E+02,4.876664E-01,7.828651E+02,4.846217E-01
1.456657E+02,6.873334E-01,1.966013E+02,4.823239E-01,1.520311E+02,5.716999E-01,1.025485E+02,4.930435E-01,3.450679E+02,4.876793E-01,7.861140E+02,4.845595E-01
1.459030E+02,6.872359E-01,1.972503E+02,4.823998E-01,1.523916E+02,5.716473E-01,1.029016E+02,4.931514E-01,3.464816E+02,4.877072E-01,7.893280E+02,4.845476E-01
1.462629E+02,6.871778E-01,1.979050E+02,4.824592E-01,1.527517E+02,5.716410E-01,1.031878E+02,4.932024E-01,3.475849E+02,4.877248E-01,7.922176E+02,4.845349E-01
1.465067E+02,6.870922E-01,1.985502E+02,4.825227E-01,1.532059E+02,5.716019E-01,1.034771E+02,4.932714E-01,3.488912E+02,4.877474E-01,7.953389E+02,4.845047E-01
1.468454E+02,6.870398E-01,1.991278E+02,4.826002E-01,1.535720E+02,5.715872E-01,1.038061E+02,4.933483E-01,3.500319E+02,4.877758E-01,7.983698E+02,4.845056E-01
1.470683E+02,6.869590E-01,1.997816E+02,4.826442E-01,1.539656E+02,5.715502E-01,1.040610E+02,4.934616E-01,3.512861E+02,4.878213E-01,8.013986E+02,4.845091E-01
1.473889E+02,6.869090E-01,2.003779E+02,4.827251E-01,1.543430E+02,5.715289E-01,1.044052E+02,4.935529E-01,3.523495E+02,4.878579E-01,8.042669E+02,4.844998E-01
1.476450E+02,6.868035E-01,2.010099E+02,4.827933E-01,1.547174E+02,5.714882E-01,1.046595E+02,4.936116E-01,3.535709E+02,4.878741E-01,8.071740E+02,4.844592E-01
1.478894E+02,6.867644E-01,2.015200E+02,4.828554E-01,1.550612E+02,5.714484E-01,1.050507E+02,4.936687E-01,3.546547E+02,4.879327E-01,8.099078E+02,4.844561E-01
1.482025E+02,6.866884E-01,2.021008E+02,4.829455E-01,1.554509E+02,5.714595E-01,1.052865E+02,4.937535E-01,3.557283E+02,4.879468E-01,8.127722E+02,4.844501E-01
1.484180E+02,6.866262E-01,2.026805E+02,4.829862E-01,1.557486E+02,5.714177E-01,1.056328E+02,4.938687E-01,3.568004E+02,4.879260E-01,8.157327E+02,4.844565E-01
1.487816E+02,6.865822E-01,2.032710E+02,4.830765E-01,1.560895E+02,5.713936E-01,1.058652E+02,4.939626E-01,3.578524E+02,4.879768E-01,8.184153E+02,4.844514E-01
1.489934E+02,6.865214E-01,2.037752E+02,4.831768E-01,1.564525E+02,5.713575E-01,1.061647E+02,4.941182E-01,3.589329E+02,4.880381E-01,8.206488E+02,4.844498E-01
1.493378E+02,6.864493E-01,2.043436E+02,4.832368E-01,1.567851E+02,5.713421E-01,1.064177E+02,4.941556E-01,3.599784E+02,4.880534E-01,8.235451E+02,4.844457E-01
1.495103E+02,6.864207E-01,2.048025E+02,4.833288E-01,1.571780E+02,5.713129E-01,1.067383E+02,4.942412E-01,3.609772E+02,4.880851E-01,8.259131E+02,4.844408E-01
1.498352E+02,6.863449E-01,2.054185E+02,4.834088E-01,1.574569E+02,5.713013E-01,1.069699E+02,4.943108E-01,3.620278E+02,4.881426E-01,8.288224E+02,4.844442E-01
1.499909E+02,6.863077E-01,2.058651E+02,4.834903E-01,1.578466E+02,5.712705E-01,1.072249E+02,4.944166E-01,3.630171E+02,4.881370E-01,8.315417E+02,4.844223E-01
1.502947E+02,6.862590E-01,2.064307E+02,4.835721E-01,1.580736E+02,5.712415E-01,1.075420E+02,4.944947E-01,3.639845E+02,4.881758E-01,8.335907E+02,4.844525E-01
1.505352E+02,6.862076E-01,2.068306E+02,4.836533E-01,1.584926E+02,5.712059E-01,1.076968E+02,4.945730E-01,3.649768E+02,4.882264E-01,8.360594E+02,4.844394E-01
1.507468E+02,6.861431E-01,2.074077E+02,4.837228E-01,1.587102E+02,5.712102E-01,1.079588E+02,4.946661E-01,3.658643E+02,4.882427E-01,8.387102E+02,4.844517E-01
1.509067E+02,6.860830E-01,2.078237E+02,4.838154E-01,1.590681E+02,5.711869E-01,1.082174E+02,4.947521E-01,3.668306E+02,4.882891E-01,8.412550E+02,4.844365E-01
1.512259E+02,6.860294E-01,2.083671E+02,4.838831E-01,1.593595E+02,5.711450E-01,1.085132E+02,4.948558E-01,3.677232E+02,4.883341E-01,8.434790E+02,4.844672E-01
1.514155E+02,6.859407E-01,2.087782E+02,4.839872E-01,1.597521E+02,5.711167E-01,1.087096E+02,4.949587E-01,3.685698E+02,4.883732E-01,8.458997E+02,4.844622E-01
1.516611E+02,6.859183E-01,2.092866E+02,4.840903E-01,1.599735E+02,5.711364E-01,1.089756E+02,4.950360E-01,3.695001E+02,4.884377E-01,8.481068E+02,4.845007E-01
1.518771E+02,6.858621E-01,2.096686E+02,4.841479E-01,1.603514E+02,5.711110E-01,1.091204E+02,4.951616E-01,3.704438E+02,4.884671E-01,8.505852E+02,4.844769E-01
1.521246E+02,6.857731E-01,2.102067E+02,4.842546E-01,1.605632E+02,5.710679E-01,1.093772E+02,4.952672E-01,3.712413E+02,4.885397E-01,8.528265E+02,4.844688E-01
1.523527E+02,6.857243E-01,2.106047E+02,4.843521E-01,1.608718E+02,5.710785E-01,1.096060E+02,4.953583E-01,3.721707E+02,4.885752E-01,8.549890E+02,4.845190E-01
1.525347E+02,6.856610E-01,2.111226E+02,4.844327E-01,1.611427E+02,5.710474E-01,1.097946E+02,4.954339E-01,3.729193E+02,4.886109E-01,8.568900E+02,4.845413E-01
