Depth_m,Hegazy & Mayne (1995) - 1,Hegazy & Mayne (1995) - 2,Baldi et al. (1989) Ticino sand OCR=1,Baldi et al. (1989) Ticino sand OCR=10,Rix & Stokoe (1991) - average,Rix & Stokoe (1991) - upper bound,Rix & Stokoe (1991) - lower bound
1.37,41.7062903,90.11056609,55.10835436,70.65558388,62.6793956,94.0190934,31.3396978
1.38,41.99254248,90.72767957,55.4295471,71.07205314,63.02416048,94.53624071,31.51208024
1.39,42.35331107,91.53639782,55.82563501,71.5874961,63.44112279,95.16168418,31.72056139
1.4,42.63297643,92.06282753,56.13942617,71.99427045,63.77839359,95.66759039,31.8891968
1.41,42.99754605,92.9012938,56.53841585,72.51364585,64.19775581,96.29663371,32.0988779
1.42,43.26960619,93.41506044,56.84382829,72.90942952,64.52660771,96.78991157,32.26330386
1.43,43.53105449,93.91879722,57.13826956,73.29075121,64.84472738,97.26709106,32.42236369
1.44,43.74549644,94.21599393,57.38520896,73.60933631,65.11688738,97.67533108,32.55844369
1.45,43.92794972,94.22386539,57.59981503,73.88522369,65.35773736,98.03660603,32.67886868
1.46,44.0357858,94.1487684,57.73932837,74.06191034,65.52603366,98.28905049,32.76301683
1.47,44.10547379,93.95637677,57.84038952,74.18781788,65.65710318,98.48565477,32.82855159
1.48,44.15001089,93.6533493,57.91603925,74.28018324,65.76350801,98.64526202,32.88175401
1.49,44.1667763,93.35162321,57.96362292,74.33550511,65.84266381,98.76399571,32.9213319
1.5,44.17396989,92.99375395,58.00140836,74.37792342,65.91218934,98.86828401,32.95609467
1.51,44.17340733,92.67710641,58.03121058,74.4098382,65.97382953,98.96074429,32.98691476
1.52,44.16602063,92.33228526,58.05395789,74.43247761,66.02847447,99.04271171,33.01423724
1.53,44.18508325,92.04294461,58.10315384,74.49009094,66.10852371,99.16278557,33.05426186
1.54,44.23227082,91.91582262,58.18052171,74.58494577,66.21567455,99.32351182,33.10783727
1.55,44.28813424,91.82140072,58.26649014,74.6911902,66.3310129,99.49651935,33.16550645
1.56,44.39223941,91.91517664,58.40093475,74.86147751,66.49314343,99.73971514,33.24657171
1.57,44.50745622,91.98709104,58.54644813,75.04640594,66.66587904,99.99881857,33.33293952
1.58,44.65638587,92.23151565,58.72579214,75.27603055,66.87125824,100.3068874,33.43562912
1.59,44.92331736,92.84224361,59.02377329,75.66233946,67.19136089,100.7870413,33.59568044
1.6,45.13322284,93.21293823,59.26413805,75.97259087,67.45558861,101.1833829,33.7277943
1.61,45.47638107,94.0222851,59.6381919,76.45942574,67.84902487,101.7735373,33.92451243
1.62,45.87250308,94.96711817,60.06492676,77.01589072,68.29319756,102.4397963,34.14659878
1.63,46.3675632,96.234145,60.59011822,77.70248414,68.83222502,103.2483375,34.41611251
1.64,46.77543737,97.19705865,61.02728676,78.27287133,69.28593679,103.9289052,34.6429684
1.65,47.16651658,98.03213467,61.44709381,78.82037981,69.72265655,104.5839848,34.86132827
1.66,47.45338894,98.45118468,61.76250577,79.22998399,70.05850024,105.0877504,35.02925012
1.67,47.76400329,98.97037725,62.10126409,79.67047497,70.41671382,105.6250707,35.20835691
1.68,47.92584543,98.95043909,62.29164372,79.91489813,70.63178227,105.9476734,35.31589114
1.69,48.06653792,98.98765546,62.46083967,80.13134639,70.82633775,106.2395066,35.41316887
1.7,48.13864716,98.78987219,62.5616605,80.25745422,70.95488286,106.4323243,35.47744143
1.71,48.22160256,98.55953616,62.67316191,80.39770165,71.09361929,106.6404289,35.54680965
1.72,48.24249863,98.22904219,62.72276517,80.45617927,71.1725502,106.7588253,35.5862751
1.73,48.23992195,97.83060638,62.74884921,80.4836123,71.22865586,106.8429838,35.61432793
1.74,48.23462345,97.46903055,62.77206594,80.50729261,71.28184888,106.9227733,35.64092444
1.75,48.24829567,97.17162706,62.81404323,80.55579345,71.35301306,107.0295196,35.67650653
1.76,48.29642895,96.99705812,62.89025323,80.64954902,71.4571123,107.1856684,35.72855615
1.77,48.3769792,96.94766036,62.99868082,80.7858903,71.59222552,107.3883383,35.79611276
1.78,48.47592597,96.9952911,63.12535036,80.94635118,71.74486691,107.6173004,35.87243346
1.79,48.58785629,97.14420864,63.26486313,81.12379823,71.90982741,107.8647411,35.9549137
1.8,48.73736169,97.41756321,63.44173353,81.35061251,72.11079864,108.166198,36.05539932
1.81,48.97348323,97.98748158,63.70479279,81.69129966,72.39495699,108.5924355,36.1974785
1.82,49.24882524,98.56613119,64.0066921,82.083321,72.71652702,109.0747905,36.35826351
1.83,49.62890014,99.56000096,64.41245937,82.61260106,73.13824828,109.7073724,36.56912414
1.84,50.14545834,100.9184498,64.95317136,83.32025013,73.68993319,110.5348998,36.8449666
1.85,50.67598974,102.2888309,65.50678077,84.0450454,74.25366923,111.3805038,37.12683462
1.86,51.20156212,103.6948979,66.05451154,84.76217441,74.81135146,112.2170272,37.40567573
1.87,51.70437303,104.8342196,66.5788497,85.44847663,75.34614963,113.0192244,37.67307482
1.88,52.10164004,105.585166,66.99842003,85.99633533,75.77988477,113.6698272,37.88994238
1.89,52.49358326,106.2459259,67.41224623,86.53665098,76.20789413,114.3118412,38.10394707
