test_id,p_kPa,void_ratio
CD1,182.4279,0.6807697
CD1,182.4015,0.6807499
CD1,182.5024,0.6807623
CD1,182.4557,0.6807866
CD1,182.4425,0.6807751
CD1,182.3929,0.6807718
CD1,182.4736,0.6807832
CD1,182.4534,0.6807934
CD1,182.4906,0.6807835
CD1,182.5503,0.6808054
CD1,182.5455,0.6808321
CD1,182.5127,0.6808361
CD1,182.5949,0.6808409
CD1,182.5608,0.6808351
CD1,182.6507,0.6808187
CD1,182.5769,0.6808407
CD1,182.6508,0.6808452
CD1,182.6693,0.6808705
CD1,182.7141,0.6808794
CD1,182.7243,0.6808699
CD1,182.7781,0.6808813
CD1,182.7466,0.6808847
CD1,182.8182,0.6809019
CD1,182.7794,0.6809158
CD1,182.8067,0.6808988
CD1,182.7528,0.6809054
CD1,182.8211,0.680918
CD1,182.7552,0.6809309
CD1,182.7871,0.6809252
CD1,182.8407,0.6809516
CD1,182.8709,0.6809602
CD1,182.8595,0.6809534
CD1,182.8334,0.680964
CD1,182.8388,0.6809701
CD1,182.8562,0.6809745
CD1,182.9349,0.6809691
CD1,182.8812,0.6809937
CD1,182.9194,0.6809904
CD1,182.8752,0.6810003
CD1,182.9458,0.68102
CD1,182.8654,0.6810171
CD1,182.8668,0.6810089
CD1,182.873,0.6810256
CD1,182.9158,0.6810282
CD1,182.9045,0.6810223
CD1,183.0243,0.6810378
CD1,182.9695,0.6810482
CD1,183.0,0.6810552
CD1,183.0117,0.6810641
CD1,182.9862,0.68108
CD1,183.0389,0.6810619
CD1,183.1152,0.6810933
CD1,183.075,0.681089
CD1,183.0781,0.6811162
CD1,183.1245,0.6811065
CD1,183.0873,0.6811228
CD1,183.186,0.6811072
CD1,183.0799,0.6811204
CD1,183.1345,0.6811128
CD1,183.0198,0.681134
CD1,183.0586,0.6811445
CD1,183.0387,0.6811542
CD1,183.0513,0.6811435
CD1,182.9829,0.6811568
CD1,182.8944,0.6811591
CD1,183.0028,0.681185
CD1,182.9926,0.6811679
CD1,183.0738,0.6811869
CD1,182.9798,0.6811811
CD1,183.0858,0.6811845
CD1,183.0562,0.6812003
CD1,183.118,0.6812008
CD1,183.071,0.6812257
CD1,183.0977,0.6812321
CD1,182.9956,0.6812238
CD1,183.0848,0.6812304
