CD1_eax_prc,CD1_evol_prc,CD1_q_kPa,CD2_eax_prc,CD2_evol_prc,CD2_q_kPa,CD3_eax_prc,CD3_evol_prc,CD3_q_kPa,CD4_eax_prc,CD4_evol_prc,CD4_q_kPa,CD5_eax_prc,CD5_evol_prc,CD5_q_kPa,CD6_eax_prc,CD6_evol_prc,CD6_q_kPa
6.436296E-01,3.052435E-01,1.288881E+02,6.291064E-01,7.311879E-02,2.727503E+02,6.124006E-01,2.548964E-01,1.458154E+02,6.229187E-01,2.883636E-02,1.489386E+02,5.522502E-01,1.650063E-01,4.021549E+02,5.270310E-01,2.179132E-01,7.783240E+02
6.564472E-01,3.091480E-01,1.299121E+02,6.405665E-01,6.992427E-02,2.750737E+02,6.226602E-01,2.555498E-01,1.474035E+02,6.366205E-01,2.525390E-02,1.501283E+02,5.657556E-01,1.660767E-01,4.066102E+02,5.404771E-01,2.198816E-01,7.878200E+02
6.705713E-01,3.128232E-01,1.310690E+02,6.563352E-01,6.635131E-02,2.771999E+02,6.340264E-01,2.590407E-01,1.484941E+02,6.484008E-01,2.147371E-02,1.513038E+02,5.666894E-01,1.634544E-01,4.109842E+02,5.525058E-01,2.216721E-01,7.981592E+02
6.818924E-01,3.173041E-01,1.318522E+02,6.688367E-01,6.265362E-02,2.795074E+02,6.479369E-01,2.615823E-01,1.499228E+02,6.630902E-01,1.813527E-02,1.524520E+02,5.860254E-01,1.623460E-01,4.154031E+02,5.623232E-01,2.242944E-01,8.093908E+02
6.951471E-01,3.214250E-01,1.330069E+02,6.806835E-01,6.084177E-02,2.815847E+02,6.603481E-01,2.636608E-01,1.510764E+02,6.726559E-01,1.269742E-02,1.533151E+02,6.005543E-01,1.630216E-01,4.194632E+02,5.789208E-01,2.261548E-01,8.196676E+02
7.086523E-01,3.246609E-01,1.339426E+02,6.947109E-01,5.762188E-02,2.838400E+02,6.751800E-01,2.671961E-01,1.524090E+02,6.943299E-01,9.121277E-03,1.544029E+02,6.051298E-01,1.597743E-01,4.233887E+02,5.911175E-01,2.261548E-01,8.289565E+02
7.207881E-01,3.287625E-01,1.351026E+02,7.060534E-01,5.390515E-02,2.858179E+02,6.882063E-01,2.687841E-01,1.536072E+02,7.104779E-01,4.827798E-03,1.553207E+02,6.184688E-01,1.589572E-01,4.276090E+02,6.048843E-01,2.280215E-01,8.383812E+02
7.343738E-01,3.308734E-01,1.358947E+02,7.194005E-01,4.956898E-02,2.879775E+02,7.021203E-01,2.706554E-01,1.548316E+02,7.186059E-01,1.007632E-03,1.565864E+02,6.378572E-01,1.566179E-01,4.316503E+02,6.124583E-01,2.270394E-01,8.485954E+02
7.463639E-01,3.347071E-01,1.369970E+02,7.307931E-01,4.558798E-02,2.898038E+02,7.166505E-01,2.728481E-01,1.560932E+02,7.287823E-01,-2.915611E-03,1.576455E+02,6.462073E-01,1.557543E-01,4.352038E+02,6.137115E-01,2.312173E-01,8.583419E+02
7.599962E-01,3.404674E-01,1.377090E+02,7.449230E-01,4.047168E-02,2.917510E+02,7.212753E-01,2.761846E-01,1.571748E+02,7.403300E-01,-1.014363E-02,1.587048E+02,6.605079E-01,1.538795E-01,4.394448E+02,6.405869E-01,2.320195E-01,8.679839E+02
