CD1_Ed_prc,CD1_Gnorm_fe_fp_MPa,CD2_Ed_prc,CD2_Gnorm_fe_fp_MPa,CD3_Ed_prc,CD3_Gnorm_fe_fp_MPa,CD4_Ed_prc,CD4_Gnorm_fe_fp_MPa,CD5_Ed_prc,CD5_Gnorm_fe_fp_MPa,CD6_Ed_prc,CD6_Gnorm_fe_fp_MPa,CU1_Ed_prc,CU1_Gnorm_fe_fp_MPa,CU2_Ed_prc,CU2_Gnorm_fe_fp_MPa,CU3_Ed_prc,CU3_Gnorm_fe_fp_MPa,CU4_Ed_prc,CU4_Gnorm_fe_fp_MPa,CU5_Ed_prc,CU5_Gnorm_fe_fp_MPa,CU6_Ed_prc,CU6_Gnorm_fe_fp_MPa,CU7_Ed_prc,CU7_Gnorm_fe_fp_MPa
7.680524E-01,2.362450E+00,8.458364E-01,2.664991E+00,7.378492E-01,2.246011E+00,8.610524E-01,1.813082E+00,6.774376E-01,4.426607E+00,6.385966E-01,7.113721E+00,9.426741E-01,-4.085591E-02,9.498970E-01,-4.582851E-01,9.024214E-01,-5.334320E-02,9.975653E-01,4.769833E+00,9.765938E-01,-1.147768E-01,4.426687E-01,1.940526E+00,9.967836E-01,2.452396E-01
7.879332E-01,2.293228E+00,8.691689E-01,2.538071E+00,7.585195E-01,2.165994E+00,8.853766E-01,1.794385E+00,6.980711E-01,4.237746E+00,6.576351E-01,7.636805E+00,9.655432E-01,-1.747070E-01,9.718372E-01,-3.512700E-01,9.269087E-01,-3.550817E-02,1.017431E+00,4.743289E+00,9.988780E-01,-5.716503E-02,4.546650E-01,1.325716E+00,1.022290E+00,4.647854E-01
8.081240E-01,2.228652E+00,8.929245E-01,2.461524E+00,7.795643E-01,2.348998E+00,9.089241E-01,1.776785E+00,7.190440E-01,4.179205E+00,6.751602E-01,6.668941E+00,9.884997E-01,-1.725746E-01,9.948313E-01,-4.484568E-01,9.484599E-01,-1.377154E-01,1.036800E+00,4.661827E+00,1.021747E+00,-1.541007E-01,4.701888E-01,1.127838E+00,1.046180E+00,4.148037E-01
8.281658E-01,2.210234E+00,9.169138E-01,2.422369E+00,7.982011E-01,2.124076E+00,9.327244E-01,1.695916E+00,7.397973E-01,3.952818E+00,6.948009E-01,7.492417E+00,1.011670E+00,-2.043302E-01,1.017596E+00,-3.828116E-01,9.683936E-01,-1.149476E-01,1.056518E+00,4.641770E+00,1.043081E+00,-8.847909E-02,4.856153E-01,9.806070E-01,1.071246E+00,4.640546E-01
8.482985E-01,2.177629E+00,9.406421E-01,2.420855E+00,8.186448E-01,2.130591E+00,9.564823E-01,1.630605E+00,7.612073E-01,3.891011E+00,7.121287E-01,7.313192E+00,1.034088E+00,-2.362636E-01,1.039982E+00,-4.493750E-01,9.872670E-01,-1.365271E-01,1.076523E+00,4.740812E+00,1.064531E+00,-2.391939E-02,5.052162E-01,7.889428E-01,1.093790E+00,3.750164E-01
8.680183E-01,2.111168E+00,9.638928E-01,2.278535E+00,8.387277E-01,2.006887E+00,9.805667E-01,1.641908E+00,7.824545E-01,3.964670E+00,7.294433E-01,6.715486E+00,1.056223E+00,-1.321364E-01,1.060100E+00,-3.230291E-01,1.010281E+00,-2.579942E-01,1.096492E+00,4.675853E+00,1.087741E+00,-1.243119E-01,5.257908E-01,7.473564E-01,1.116625E+00,4.280153E-01
8.882594E-01,2.008293E+00,9.879068E-01,2.243628E+00,8.593604E-01,1.975283E+00,1.004248E+00,1.577800E+00,8.028656E-01,3.633687E+00,7.479479E-01,7.087208E+00,1.079336E+00,-2.125277E-01,1.082617E+00,-3.484607E-01,1.032878E+00,-2.081776E-01,1.116875E+00,4.849164E+00,1.109276E+00,-6.345240E-02,5.490617E-01,4.655057E-01,1.138806E+00,5.980242E-01
9.085005E-01,2.041585E+00,1.011852E+00,2.143542E+00,8.801936E-01,1.893630E+00,1.028281E+00,1.578017E+00,8.246061E-01,3.543313E+00,7.652896E-01,6.344164E+00,1.102690E+00,-2.232845E-01,1.105735E+00,-3.379369E-01,1.053930E+00,-2.864933E-01,1.136306E+00,4.987412E+00,1.132844E+00,-1.768766E-01,5.746920E-01,4.211191E-01,1.162030E+00,3.632115E-01
9.285171E-01,1.968568E+00,1.036105E+00,2.083173E+00,9.013731E-01,2.009431E+00,1.051721E+00,1.408424E+00,8.462921E-01,3.588523E+00,7.844180E-01,6.187167E+00,1.125957E+00,-1.551290E-01,1.127922E+00,-3.469260E-01,1.074847E+00,-3.473622E-01,1.155288E+00,4.841692E+00,1.154481E+00,-2.387770E-01,6.026037E-01,4.150386E-01,1.182514E+00,4.899726E-01
9.488545E-01,1.970518E+00,1.060670E+00,2.079151E+00,9.211253E-01,1.941317E+00,1.077039E+00,1.346572E+00,8.671935E-01,3.559269E+00,8.034172E-01,5.751585E+00,1.148486E+00,-1.929605E-01,1.148508E+00,-3.179004E-01,1.097597E+00,-2.376763E-01,1.175233E+00,4.892540E+00,1.176573E+00,-1.495573E-01,6.322164E-01,2.717174E-01,1.204164E+00,3.988716E-01
9.688417E-01,1.889216E+00,1.084553E+00,2.010843E+00,9.412751E-01,1.815379E+00,1.103026E+00,1.375553E+00,8.878000E-01,3.282210E+00,8.236605E-01,6.176145E+00,1.171042E+00,-2.722029E-01,1.171048E+00,-2.152030E-01,1.120018E+00,-2.999452E-01,1.194717E+00,5.008736E+00,1.199341E+00,-1.903661E-01,6.646945E-01,2.279777E-01,1.226135E+00,6.184451E-01
9.891204E-01,1.900722E+00,1.108850E+00,2.010579E+00,9.620259E-01,1.834232E+00,1.128015E+00,1.370906E+00,9.098295E-01,3.234109E+00,8.423062E-01,6.571516E+00,1.193604E+00,-2.247311E-01,1.197258E+00,-2.959659E-01,1.142432E+00,-3.088866E-01,1.214085E+00,5.005794E+00,1.221977E+00,-1.998116E-01,7.025846E-01,1.880519E-01,1.247419E+00,4.426927E-01
